"0","123I IODE IOBENGUANE "
"1","123I IODE IOFUPANE "
"2","123I SODIUM IODURE "
"3","123L IODE IOFLUPANE "
"4","131I SODIUM IODURE "
"5","18 F FLUDESOXYGLUCOSE "
"6","18 FLT "
"7","18F FLUDESOXYGLUCOSE "
"8","3.4 DIAMINOPYRIDINE "
"9","51CR CHROME EDETATE "
"10","51CR SODIUM CHROMATE "
"11","57CO COBALT CYANOBALAMINE MBQ "
"12","5-AMINOLEVULINIQUE MEDI "
"13","68 GA / GE GENERATEUR "
"14","6-FLUORO-(18F)-L-DOPA "
"15","6-IODOMETHYLNORCHOLESTEROL "
"16","99MTC TECHNETIUM DEPREOTIDE "
"17","A 313 "
"18","A T S "
"19","ABACAVIR "
"20","ABACAVIR/LAMIVUDINE/ZIDOVUDINE "
"21","ABATACEPT "
"22","ABBOTICINE "
"23","ABCIXIMAB "
"24","ABCYS "
"25","ABDOSCAN "
"26","ABELCET "
"27","ABELITE "
"28","ABEREL "
"29","ABEREL TAMPON "
"30","ABI "
"31","ABILIFY "
"32","ABILIFY MAINTENA "
"33","ABIOCINE "
"34","ABIOSAN "
"35","ABIRATERONE "
"36","ABIRATERONE JAC "
"37","ABLAVAR "
"38","ABRAXANE "
"39","ABSEAMED "
"40","ABSTRAL "
"41","ABUFENE "
"42","AC ACETYLSALICYLIQUE "
"43","AC AMINE + VIT + ELECTROLYTE "
"44","AC AMINES AMINOVEN "
"45","AC GLUTAMIQUE PHOSPHO "
"46","AC IBANDRONIQUE "
"47","AC LACTIQUE PH=4.5 "
"48","AC LACTIQUE PH=5 "
"49","AC LACTIQUE DEL PH=4.5 "
"50","AC LACTIQUE PH4.5 "
"51","AC NALIDIXIQUE "
"52","AC SALICY AC LACT "
"53","AC ZOLEDRONIQUE "
"54","AC ZOLEDRONIQUE IN "
"55","AC ZOLEDRONIQUE TVP "
"56","ACADIONE "
"57","ACAL "
"58","ACAMPROSATE "
"59","ACARBOSE "
"60","ACCUSOL K "
"61","ACCUSOL "
"62","ACDRIL "
"63","ACEBUTOLOL "
"64","ACEBUTOLOL REF "
"65","ACECLOFENAC "
